"City","State","Total","Available","ICUs","Available_ICU"
"Anchorage"," AK",1583,533,130,55
"Tuscaloosa"," AL",1066,297,143,37
"Montgomery"," AL",1225,461,131,61
"Dothan"," AL",1335,504,108,33
"Huntsville"," AL",1804,569,248,59
"Mobile"," AL",2066,695,282,101
"Birmingham"," AL",7297,2756,991,342
"Texarkana"," AR",656,383,90,62
"Fort Smith"," AR",931,487,87,55
"Jonesboro"," AR",975,403,76,23
"Springdale"," AR",1144,616,135,73
"Little Rock"," AR",4854,2174,520,177
"Sun City"," AZ",845,364,119,81
"Mesa"," AZ",2091,648,291,108
"Tucson"," AZ",2677,1184,335,161
"Phoenix"," AZ",6977,2567,957,416
"Santa Cruz"," CA",359,169,22,6
"San Luis Obispo"," CA",390,202,54,33
"Napa"," CA",456,152,70,41
"Chico"," CA",537,153,51,23
"Salinas"," CA",740,290,70,37
"Redding"," CA",786,284,109,58
"Santa Barbara"," CA",858,246,82,35
"Stockton"," CA",918,329,121,41
"Santa Rosa"," CA",1272,306,93,45
"Modesto"," CA",1478,467,118,44
"San Mateo"," CA",1555,452,198,88
"Martinez"," CA",1727,675,203,81
"Fresno"," CA",1935,547,205,77
"Bakersfield"," CA",2429,692,191,88
"San Jose"," CA",2547,916,341,146
"Alameda"," CA",2695,665,293,139
"San Francisco"," CA",3776,1139,439,203
"Sacramento"," CA",4381,1315,616,224
"San Bernardino"," CA",5691,2125,690,231
"San Diego"," CA",6178,1949,802,358
"Los Angeles"," CA",19492,6594,2415,942
"Pueblo"," CO",615,238,28,7
"Boulder"," CO",640,297,90,43
"Grand Junction"," CO",696,321,75,33
"Fort Collins"," CO",704,341,31,14
"Greeley"," CO",792,396,79,28
"Colorado Springs"," CO",1295,555,149,62
"Denver"," CO",5593,2269,843,325
"Bridgeport"," CT",1354,370,132,65
"New Haven"," CT",2825,610,286,118
"Hartford"," CT",2855,751,323,115
"Washington"," DC",5055,1595,601,218
"Wilmington"," DE",1845,601,237,62
"Bradenton"," FL",822,342,104,49
"Ormond Beach"," FL",872,359,158,63
"Ocala"," FL",902,289,150,51
"Lakeland"," FL",1046,382,103,57
"Hudson"," FL",1188,329,160,45
"Sarasota"," FL",1309,604,159,77
"St. Petersburg"," FL",1424,613,139,33
"Clearwater"," FL",1571,719,160,44
"Gainesville"," FL",1834,469,303,88
"Pensacola"," FL",2001,755,230,91
"Tallahassee"," FL",2242,603,193,50
"Fort Myers"," FL",3115,1089,268,97
"Tampa"," FL",4005,1289,515,165
"Jacksonville"," FL",4947,1625,618,183
"Fort Lauderdale"," FL",7323,2753,908,292
"Miami"," FL",9139,2952,981,280
"Orlando"," FL",10004,3292,1284,448
"Albany"," GA",704,221,60,27
"Rome"," GA",733,229,74,16
"Columbus"," GA",1105,547,75,33
"Savannah"," GA",2050,650,163,55
"Augusta"," GA",2194,831,349,106
"Macon"," GA",2295,865,240,57
"Atlanta"," GA",12780,3338,1621,436
"Honolulu"," HI",2623,795,219,73
"Mason City"," IA",470,239,18,6
"Dubuque"," IA",518,228,18,8
"Waterloo"," IA",668,340,36,19
"Cedar Rapids"," IA",799,364,44,22
"Sioux City"," IA",909,362,59,23
"Iowa City"," IA",1414,538,147,64
"Davenport"," IA",1614,699,139,66
"Des Moines"," IA",2760,1193,173,76
"Idaho Falls"," ID",492,269,44,24
"Boise"," ID",1773,848,186,95
"Bloomington"," IL",394,201,35,10
"Aurora"," IL",527,286,55,25
"Hinsdale"," IL",1041,402,172,89
"Urbana"," IL",1047,480,99,54
"Elgin"," IL",1239,475,142,67
"Rockford"," IL",1320,613,199,96
"Joliet"," IL",1376,662,149,53
"Peoria"," IL",1725,643,156,71
"Evanston"," IL",2032,666,332,137
"Blue Island"," IL",2053,583,308,118
"Springfield"," IL",2426,1172,213,79
"Melrose Park"," IL",2902,1122,334,137
"Chicago"," IL",7764,3161,912,312
"Muncie"," IN",377,129,36,8
"Lafayette"," IN",457,193,34,14
"Terre Haute"," IN",468,207,64,37
"South Bend"," IN",1273,551,148,70
"Gary"," IN",1434,638,179,95
"Munster"," IN",1500,642,105,42
"Evansville"," IN",2154,1050,328,157
"Fort Wayne"," IN",2442,1038,376,143
"Indianapolis"," IN",7441,3350,1081,403
"Topeka"," KS",1304,594,112,49
"Wichita"," KS",4590,2225,442,202
"Owensboro"," KY",390,175,36,14
"Covington"," KY",828,280,93,39
"Paducah"," KY",1490,779,117,57
"Louisville"," KY",4162,1700,506,165
"Lexington"," KY",5045,2073,579,172
"Slidell"," LA",536,338,137,70
"Houma"," LA",707,399,65,32
"Lake Charles"," LA",830,424,81,44
"Metairie"," LA",857,406,111,44
"Alexandria"," LA",917,402,43,20
"Monroe"," LA",1064,561,102,36
"Lafayette"," LA",1716,700,188,87
"Shreveport"," LA",2468,1080,283,111
"New Orleans"," LA",2491,869,313,77
"Baton Rouge"," LA",2898,1159,249,119
"Worcester"," MA",1525,425,169,43
"Springfield"," MA",1588,500,195,73
"Boston"," MA",10239,2548,1157,438
"Salisbury"," MD",598,187,59,26
"Takoma Park"," MD",1181,294,150,48
"Baltimore"," MD",6931,1887,844,303
"Bangor"," ME",1094,400,100,28
"Portland"," ME",2524,710,209,92
